Date,alpha_0.00,alpha_0.05,alpha_0.10,alpha_0.15,alpha_0.20,alpha_0.25,alpha_0.30,alpha_0.35,alpha_0.40,alpha_0.45,alpha_0.50,alpha_0.55,alpha_0.60,alpha_0.65,alpha_0.70,alpha_0.75,alpha_0.80,alpha_0.85,alpha_0.90,alpha_0.95,alpha_1.00
2025-08-04,0.16127944650864423,0.1496883918231273,0.14595425545328458,0.14058034955480947,0.13374902655217966,0.12389693927683734,0.11174777474229142,0.09894591404737019,0.0858969120786856,0.07280553154192171,0.05985773885577071,0.04725984026067316,0.03509665198403888,0.023288241643409372,0.011768791763335368,0.0004967018192011882,1.2537465205438478e-06,4.852081010745917e-08,7.863754870612159e-09,2.144863943252181e-07,8.239025807837037e-08
2025-08-05,0.08183473821193565,0.07070186827889294,0.05913048152336213,0.04642878226512621,0.03395965394782193,0.025438970196493573,0.019150275056249413,0.014546445212645915,0.011105414778168876,0.008853395441038305,0.007228366772955338,0.005716579162557727,0.004261726840965194,0.002838608054943343,0.0014427851203376637,6.135008130206275e-05,1.1726839966980399e-07,3.736068047833682e-09,5.135875381317422e-10,1.2011969242894232e-08,3.9492676256992265e-09
2025-08-06,-0.17669563770893648,-0.16422370363084066,-0.15082542823260894,-0.13464964267464713,-0.11688793856128635,-0.10004747844444077,-0.08175878983822965,-0.0663920317455796,-0.05348564671490008,-0.04240204827397647,-0.032770369096386205,-0.0243537953852292,-0.01716242607594568,-0.01087842415082085,-0.005277357303711875,-0.0002148736975058002,-5.588537690047595e-07,-2.173689376637721e-08,-3.5101783916807946e-09,-9.504566347530875e-08,-3.622824667443741e-08
2025-08-07,0.0026464630257807043,0.003047935782201327,0.007445585119886693,0.009149397902069171,0.008461056036027453,0.008301228592132528,0.008909337366498122,0.008896786635104096,0.008421323393291566,0.0072235919229888665,0.005898955176109303,0.004526129932459865,0.003290086557164406,0.002150372802034897,0.0010717194628241725,4.504805454642127e-05,1.1921862215250691e-07,4.676152483310786e-09,7.639714355538876e-10,2.0952917040059096e-08,8.08170052268072e-09
2025-08-08,-0.037292137435493006,-0.03985109221764629,-0.043978793743524355,-0.0484826664424675,-0.051209321351264825,-0.05094293725894396,-0.049191373196439105,-0.04568319895797447,-0.04104353079542907,-0.03578677920990943,-0.030525557984371586,-0.024985394842349174,-0.019064067476187028,-0.012913819158204578,-0.0066380061092752045,-0.00028432119634498024,-8.230492058256735e-07,-3.4705848026923754e-08,-5.965221916813511e-09,-1.7031377706874923e-07,-6.802904434606702e-08
2025-08-11,0.1641232153214306,0.15260975288630382,0.1339898441414763,0.11778396842669255,0.10344025896934911,0.08998656915550633,0.07721302024645581,0.06581247891593288,0.05547062002920926,0.04582067186313381,0.03714607569080134,0.029099556195007856,0.02147802900412953,0.014182326261204449,0.007137760748101884,0.0003015383293543401,7.955367425394617e-07,3.142773970136287e-08,5.163310103662002e-09,1.4232842081889427e-07,5.5182996798352214e-08
2025-08-12,0.04224464383911525,0.037819015310908075,0.02572522698986555,0.015498332851491804,0.007815476101101925,0.003874816644391608,0.0020921984254592247,0.0008891701311703405,0.00012598861683538401,3.4014733364946146e-05,0.0003033918131793427,0.0006753253130357047,0.0007594425854924321,0.0006399884473988784,0.000383067552434951,1.8539803337836905e-05,3.9468490266475206e-08,1.3289072569178985e-09,1.855384061361366e-10,4.305044362614019e-09,1.3900011122051046e-09
2025-08-13,0.06714765203709339,0.06416263259527154,0.061183257355209124,0.05547543352549249,0.048155758002138144,0.04119267471422956,0.035322044785129326,0.02994940930107699,0.02504166769980608,0.02062929716717711,0.016673237106829598,0.013136008293977514,0.009723669249689839,0.006425623637949463,0.003235278636111053,0.00013537517854242805,3.7220825142639176e-07,1.4892355800329113e-08,2.452562608509064e-09,6.748460671181266e-08,2.6089279900310574e-08
2025-08-14,0.07463770999895852,0.0652130836582447,0.04881708553259422,0.03431258218528846,0.021815194643007903,0.013183585791686953,0.008601781435749134,0.005468400216124205,0.003324193883709135,0.001882020263271329,0.0007689320637938353,2.136910151007761e-05,-0.0003319366179616256,-0.0004101465472543365,-0.0002873815243479833,-1.563124524484484e-05,-4.502042253041476e-08,-1.927607317407905e-09,-3.4250707923169387e-10,-1.0140513680466295e-08,-4.174183158028357e-09
2025-08-18,0.11717630583413023,0.10491457840060199,0.11225476673954361,0.11536944330560839,0.11370717591320285,0.11238428683778105,0.11179598623047926,0.10617341514036166,0.09709846364932719,0.08475789053790099,0.070298393507373,0.05622161333639199,0.042208784415487324,0.028272221316071884,0.014402230870436915,0.0006143376703278151,1.5946975145625684e-06,6.250299439758427e-08,1.0235215588878091e-08,2.8178320955498225e-07,1.0916317371709848e-07
