Date,alpha_0.00,alpha_0.05,alpha_0.10,alpha_0.15,alpha_0.20,alpha_0.25,alpha_0.30,alpha_0.35,alpha_0.40,alpha_0.45,alpha_0.50,alpha_0.55,alpha_0.60,alpha_0.65,alpha_0.70,alpha_0.75,alpha_0.80,alpha_0.85,alpha_0.90,alpha_0.95,alpha_1.00
2025-08-04,0.1612794417705135,0.15141903529796916,0.1487041785997636,0.14374475338155648,0.13762068270873468,0.12869066184740996,0.11719476579600407,0.10483980003764738,0.09214651501001472,0.07926094032403959,0.0665172284317073,0.05394938510338141,0.041795617996384475,0.030009196580163645,0.018527412953410413,0.007297836269800888,4.078836076816395e-07,5.439824392637066e-08,5.022057982982621e-07,1.1021655817076397e-07,4.1131413801516416e-08
2025-08-05,0.08183473927090425,0.07236550555216133,0.0621079383620646,0.0506790519528237,0.038391788060256477,0.029266043250834067,0.022754976436419966,0.01760026374170337,0.013648831787774396,0.010696282583472562,0.008722647540472939,0.0069788326936943345,0.0053586611215525595,0.003826655389389902,0.0023534042000716467,0.0009244142675497496,4.611317954840742e-08,4.979796641100782e-09,3.833227395746414e-08,7.0273882787809705e-09,2.1762948102175206e-09
2025-08-06,-0.17669563834407284,-0.165398016444355,-0.15284751298080324,-0.13786899359450686,-0.12086687146782243,-0.10478955217769784,-0.08754295079208829,-0.07199282542611998,-0.05880746694688883,-0.04748261876112532,-0.0375697203636894,-0.028734582426756018,-0.021122564337337772,-0.014478701989170733,-0.008578774808258034,-0.0032569056387185217,-1.807960109745769e-07,-2.432667154074978e-08,-2.2476144392673864e-07,-4.9280900262103815e-08,-1.837161707823642e-08
2025-08-07,0.002646461606005016,0.0027860746004275717,0.0067319831933418265,0.008495303959068836,0.007518601414547733,0.006916718459989957,0.007391470531000915,0.007544639891272911,0.0072895745129573555,0.006528065023765107,0.00544483401277015,0.004283887823762352,0.0032267969143630927,0.0022641181254008883,0.0013729411977453046,0.0005330827865599187,3.085452009749885e-08,4.235482619247869e-09,3.968830244634383e-08,8.810750542358194e-09,3.3207828018546227e-09
2025-08-08,-0.03729213481418324,-0.03928279990965574,-0.04286936545972449,-0.046991791592793625,-0.04978492581079805,-0.04995736107039336,-0.04858893013449564,-0.045793480138398526,-0.04181465438356022,-0.03678257639626115,-0.03194776602946277,-0.02691151937336252,-0.021486141237458834,-0.0157962628490615,-0.009937362217262798,-0.003974709982553337,-2.3434764921764514e-07,-3.405345919388614e-08,-3.3465573596801397e-07,-7.721914047189157e-08,-3.0040056681544144e-08
2025-08-11,0.16412321701565993,0.15056121130615915,0.13156471835167416,0.11550595017238376,0.10167380997149886,0.08917061501932312,0.07715442459120876,0.06639225649576078,0.056631724014283985,0.04758101234800049,0.03925083997694659,0.031614898630322325,0.02438112705027691,0.017443348594089907,0.010738574141378384,0.004220069513582379,2.42247919927774e-07,3.3324024734704615e-08,3.1388466118936387e-07,6.998944963281571e-08,2.647198835734549e-08
2025-08-12,0.04224464393188014,0.03796517067820576,0.027067651549766897,0.017247436159878362,0.009567246486405796,0.004718642387368344,0.0028849849014139337,0.0014757910280305269,0.0005288024376202608,0.00017602111042685752,0.00022765751221552784,0.0006154688744719497,0.0007886022937368791,0.0007530352181262306,0.0005601950650147684,0.00025230538567125847,1.433616240475957e-08,1.7577242616065605e-09,1.5066318647960266e-08,3.058613036919795e-09,1.0516098628674618e-09
2025-08-13,0.067147652475186,0.06373479644013946,0.060414437691971995,0.05496595643345346,0.04785677728160249,0.041257122385274334,0.035508913554967936,0.03043581520906932,0.025776913479118996,0.021480561792575938,0.017646187132113047,0.014268049128684722,0.011037809258639387,0.007908917115582616,0.004869897882047705,0.0019125849832052951,1.1115518355660336e-07,1.5739531929564595e-08,1.5044283816624937e-07,3.38548481479418e-08,1.288661071570221e-08
2025-08-14,0.07463771426270875,0.06594687497497516,0.05043659648110314,0.03693565153868477,0.024777498573251167,0.015910320342195916,0.010863018540612458,0.007505851857148113,0.00508997091985484,0.0033549744700157045,0.002033791735706794,0.0009740562316974451,0.00031256281523141103,-3.8329002890070905e-05,-0.00015995993737075634,-0.00010890113774464572,-8.8302925593263e-09,-1.4358863637547966e-09,-1.525950283593333e-08,-3.726379226073748e-09,-1.5105930826335414e-09
2025-08-18,0.11717630091828549,0.10781009657768953,0.11534368053908385,0.11911060753823062,0.11806402449326811,0.1148774312725102,0.11498893585051599,0.11037487078535635,0.10225349056670664,0.09127919168315408,0.07750245240538625,0.06363995867766004,0.04988012740049813,0.036171292784345936,0.022524797334038543,0.00893961682008407,5.120216905405228e-07,6.954291725635204e-08,6.499157446027131e-07,1.4404072361213074e-07,5.419419926599467e-08
2025-08-19,-0.015748288709844144,-0.015399763970565855,-0.015492828208911956,-0.012657721996773386,-0.006525875046834074,-0.0018573983433747105,0.0019022857711456379,0.004117102450828523,0.005325695214753205,0.005740935203075938,0.0055340086074482115,0.004685018944364643,0.003733687894012292,0.0027471824660826277,0.0017333070161817737,0.0006960461929217943,4.085378404237756e-08,5.9728154661724165e-09,5.97377721952637e-08,1.4053682991624258e-08,5.56944498784554e-09
2025-08-20,0.025678847420179087,0.022620664294279457,0.019741940594459346,0.01639437755575745,0.01365225081188223,0.011464781150501807,0.009234299272802863,0.007367222031158049,0.00587843983316692,0.005181181568658456,0.004878740716628616,0.004499274205971653,0.0038523564719950294,0.0029871605209804103,0.0019569044144543165,0.0008082077504280238,4.9994972062642483e-08,7.870539596259384e-09,8.18148101778486e-08,1.9693750502602756e-08,7.918227866019875e-09
2025-08-21,0.051955581974703846,0.04706986754169515,0.04075847596418078,0.034106216901313956,0.027293645829775715,0.021661567260870807,0.01710301822121707,0.013369159601590139,0.010391976432546315,0.007767511975803104,0.005666778136287775,0.003921557391092217,0.002594800035305606,0.0015978731282735976,0.0008492868513102896,0.00028844603041441836,1.511909342491933e-08,2.1674461883328983e-09,2.0313157605282354e-08,4.444060774842796e-09,1.640292013163686e-09
2025-08-22,0.03203671438899185,0.03010613898288436,0.02160153342851934,0.013093439879875305,0.004970184964199248,-0.0009017319301611799,-0.005969514825688916,-0.009657275655262292,-0.011557193103108775,-0.012171334191040325,-0.011755451530038588,-0.010337478196639332,-0.00849968059394473,-0.006402450146805776,-0.004113208518111458,-0.0016756210909514813,-1.06112872466214e-07,-1.608214242015109e-08,-1.615049082736303e-07,-3.7837032100200405e-08,-1.4890831054787423e-08
2025-08-25,0.12719461501605753,0.11733819982995342,0.10646601748371125,0.09454976090747513,0.08232294947328755,0.07123609737569639,0.060701863681744225,0.05116116108138059,0.04277714773001198,0.035267148065619314,0.02825324627489587,0.02188261639721446,0.016289052828715442,0.011299865139561055,0.006771682311896286,0.002598578244029987,1.4520587468929085e-07,1.979294753805108e-08,1.8532716439621958e-07,4.1153159421503056e-08,1.552082269463031e-08
2025-08-26,-0.2758287436668787,-0.252089207534005,-0.2322927993993148,-0.21256078900747225,-0.19227997504903985,-0.1714065118320389,-0.14799819981197126,-0.12676879576925373,-0.10758112945726132,-0.0901345503141448,-0.0742167067354664,-0.059445735448671634,-0.045605475295109825,-0.03248184723296359,-0.019917536886881294,-0.007799507993056486,-4.410818039096939e-07,-5.98129640264831e-08,-5.568246368920709e-07,-1.2293037898117004e-07,-4.610964334142357e-08
