Alpha,Reliance,TCS,HDFCBank,Infosys,ICICIBank,HindustanUL,ITC,SBI,BajajFin,Airtel,KotakBank,AxisBank,AsianPaints,Maruti,Wipro,HCLTech,LT,MahindraM,Titan,Nestle,UltraTech,PowerGrid,NTPC,SunPharma,DrReddy,AdaniPorts,TataMotors,TataSteel,JSWSteel,DivisLabs
0.0,5.863578947830293e-09,3.4789097323226795e-09,1.4713756784858528e-09,3.718897190105793e-09,8.44645146934372e-09,4.365911298148436e-09,2.599071100926418e-09,2.8392978216020848,1.1320339406532236e-07,1.0581498500368468e-08,1.4973252781478002e-09,1.7867649432900374e-07,2.0665192032136332e-08,2.752271061518563e-08,3.1445630990338484e-09,6.600266888305596e-09,8.756289658049656e-09,6.173453928211486e-09,6.348300337289938,4.485375315039446e-09,5.21835077355386e-09,1.741904721770903e-08,2.5028456734227072e-08,3.589915905801196,5.9581963940363786e-09,4.629073893130306e-08,1.981826078355207e-09,4.188998820413242e-07,2.8891028144261243e-07,2.5761470577310503
0.05,1.5498358838906875e-07,9.344537418643786e-08,3.02205224253863e-08,9.913207205972366e-08,2.0717326756874839e-07,1.104951336044737e-07,6.796491321993101e-08,2.673893726877272,9.786697363555685e-06,3.2334300098211354e-07,3.0942344112738216e-08,3.3822013426274765e-06,5.062556687171826e-07,6.143855860703405e-07,8.44424110183245e-08,1.8299663509699536e-07,2.2313978706637072e-07,1.7327237853971149e-07,5.594596878039853,1.010637854501545e-07,1.3390635385862294e-07,3.424274708404231e-07,4.937271462123193e-07,3.291837705053555,1.7746319402131222e-07,1.1268395387743948e-06,4.211651285479553e-08,0.07928092790375328,2.1724072010913705e-05,2.4123863174794455
0.1,2.0202571024352752e-07,1.1970142220826803e-07,3.781334332279979e-08,1.2629015391794837e-07,2.6970825965404775e-07,1.404172053244434e-07,8.603956553804816e-08,2.287609483929952,0.26265145187740196,4.7275161920354974e-07,3.928670305038112e-08,9.703526315757974e-06,8.11013988577037e-07,9.948769657943373e-07,1.0824352764324291e-07,2.408113478636482e-07,3.061145789479473e-07,2.3599722614235428e-07,4.702095275609336,1.2579528288045545e-07,1.7447307713801753e-07,4.385173982056323e-07,6.769737487399309e-07,2.9034165466146873,2.3489911217052936e-07,3.3512336020384433e-06,5.2592924136358675e-08,0.24558012056843415,0.2388580533309251,2.125003478399786
0.15000000000000002,1.6665650610407024e-08,9.745239169396235e-09,3.0519942623922554e-09,1.0219227346612013e-08,2.226744067668097e-08,1.1350802054853137e-08,6.947025077482566e-09,1.9149557811075515,0.4215050629664615,4.462445174788299e-08,3.1451000023552332e-09,0.10407899232513164,9.969247459576577e-08,1.406905153534957e-07,8.81712178743738e-09,2.0064750865126558e-08,2.7096275098657688e-08,2.0743898136596802e-08,3.881509596677068,9.853587303015387e-09,1.4550765706885854e-08,3.604559947321538e-08,6.14415367180589e-08,2.506337903189552,1.9764913772997365e-08,0.09427285031703109,4.222544473375046e-09,0.34541103648358806,0.3976820256741662,1.8460986539767772
0.2,1.1122856426683538e-07,6.394308516108704e-08,1.9247116536455182e-08,6.603120177405065e-08,1.4871298757994977e-07,7.305270658501844e-08,4.33963556843921e-08,1.5947577112920024,0.48879787458341023,3.55097402517353e-07,2.0296291183428884e-08,0.19903582165481207,1.1637196405325985e-06,2.0094395004851063e-06,5.6953054529446366e-08,1.391633904403416e-07,2.0543711485641368e-07,1.5633280628048216e-07,3.1671345710988303,6.387854359133868e-08,1.0022942549383402e-07,2.3841197103280954e-07,4.554615235941759e-07,2.1220502882250485,1.3455528540884126e-07,0.2447459997038326,2.689836901173964e-08,0.40176498863613364,0.48043906273859394,1.5826177718346852
0.25,1.5957899548955612e-07,8.943295997430762e-08,2.6446441689915984e-08,9.153360117643256e-08,2.1529054677171521e-07,1.01158533720209e-07,5.9173587762900104e-08,1.3317203279675771,0.5012427273101197,6.289504020426837e-07,2.780645968140641e-08,0.25777116274092876,2.5069318321015363e-05,0.05644846221356458,7.91637370597577e-08,2.0379134253414842e-07,3.393716435908665e-07,2.5250387233325244e-07,2.5697052487269922,8.776007435181941e-08,1.471278495867894e-07,3.4220590765210877e-07,7.699664472940146e-07,1.776471100223306,1.9661955739729395e-07,0.32539310272223493,3.700350730099384e-08,0.42685034344477485,0.5165845011789648,1.3421114751340144
0.30000000000000004,3.9976436225808424e-07,2.1637741069134153e-07,6.219078554202359e-08,2.2004703942701834e-07,5.440964459613831e-07,2.426557990551254e-07,1.4027369400632774e-07,1.0999014454622498,0.47302080339422203,1.7008451587651422e-06,6.502768683395005e-08,0.28203762607312116,0.09416807002156671,0.14196689739465918,1.9096597682167173e-07,5.112524534295174e-07,9.361637616208672e-07,6.819181435176019e-07,2.0563291296364334,2.0569499982943413e-07,3.7424084914440806e-07,8.408567715290431e-07,1.995174603980518e-06,1.4598208543076894,4.971222770897963e-07,0.35044162118180017,8.721473479733341e-08,0.42180606825695527,0.5118079309886443,1.1171115374664822
0.35000000000000003,4.619124024247265e-08,2.412242254546684e-08,6.818078670537537e-09,2.434848989346014e-08,6.311899944584166e-08,2.692376628889432e-08,1.5421263221246545e-08,0.9112803529041613,0.4321359250197889,2.2078678495713258e-07,7.071201693933702e-09,0.2864327032821766,0.14922466398436632,0.18720608704188624,2.1241513079275345e-08,5.8119616004070824e-08,1.1491062086162472e-07,8.270727053050567e-08,1.6472797163599373,2.2301197233412107e-08,4.414586282470357e-08,9.45348791041655e-08,3.1071957235826074e-07,1.1925961511084635,5.732897592358541e-08,0.3476961856094016,9.570266492305865e-09,0.3984346815530751,0.48514252161598853,0.9237364207389118
0.4,1.2949165522204339e-07,6.363274722140272e-08,1.796538300852266e-08,6.3620339938434e-08,1.8431551132066806e-07,7.082742729863334e-08,3.9435094899399355e-08,0.7520562081342465,0.3837721703821855,3.2791404295698974e-06,1.8496012599153235e-08,0.27544714877191384,0.1734901623166848,0.20434855004260744,5.5379970706626755e-08,1.7158254284876067e-07,8.968513832540923e-07,4.0227101291863765e-07,1.3150700382215352,6.094335242445542e-08,1.322485214300792e-07,2.9536014318021866e-07,7.477958185891744e-06,0.9658422532076945,1.6506644277647147e-07,0.3265401965534155,2.5523660061191392e-08,0.36283357263394267,0.4431293525506238,0.756673434852112
0.45,4.19890777521159e-07,1.944122570601709e-07,5.407500844059323e-08,1.9255396406299606e-07,6.202233731085506e-07,2.1656968370095296e-07,1.1814940412799073e-07,0.607856552244288,0.3284937563047587,0.026350380059349032,5.521936053806998e-08,0.25018404225167273,0.17471105696943845,0.20010555177613334,1.679221792615137e-07,5.575084849178373e-07,0.008698180269620851,2.5145824338797866e-06,1.029993835722393,1.8637335131716426e-07,4.578868718414753e-07,9.758474925659298e-07,0.03661245892359457,0.7638572155664942,5.366486382197017e-07,0.2903409590544198,7.770876293043725e-08,0.3155207009460433,0.38692643090059914,0.6057845342361569
