Alpha,Reliance,TCS,HDFCBank,Infosys,ICICIBank,HindustanUL,ITC,SBI,BajajFin,Airtel,KotakBank,AxisBank,AsianPaints,Maruti,Wipro,HCLTech,LT,MahindraM,Titan,Nestle,UltraTech,PowerGrid,NTPC,SunPharma,DrReddy,AdaniPorts,TataMotors,TataSteel,JSWSteel,DivisLabs
0.0,4.717092384093777e-09,2.8082215368621465e-09,1.2715864967570035e-09,3.0002256516577497e-09,6.783460499221259e-09,3.521612077261622e-09,2.1368151944541773e-09,2.839297910337882,9.100941825230632e-08,8.463550732713008e-09,1.2893167901866171e-09,1.4080941244521845e-07,1.6386725194947655e-08,2.1950891035082633e-08,2.557410244868728e-09,5.240508586093044e-09,7.007738580559797e-09,4.958841471841912e-09,6.348300394105577,3.5625419074001225e-09,4.205031267677901e-09,1.3726725777473028e-08,1.9788156581500468e-08,3.589915936345893,4.821948078890851e-09,3.697214993066635e-08,1.6559028574602041e-09,3.2795144829161977e-07,2.2798651055377395e-07,2.576147090101151
0.05,4.108783752779708e-08,2.456972580726466e-08,7.961581208744408e-09,2.611850690026074e-08,5.505947522193226e-08,2.9227903815708e-08,1.7972122676009553e-08,2.585864938276485,1.972090327209571e-06,8.57681725574202e-08,7.991598950120613e-09,9.626821668765493e-07,1.3434536863390735e-07,1.631526494298285e-07,2.2221881222578e-08,4.8274306370530716e-08,5.874360794329183e-08,4.5538268895140455e-08,5.727703124098039,2.6592662962323505e-08,3.532648153562402e-08,9.250760208805073e-08,1.334032373440442e-07,3.2259669539307567,4.725521167611417e-08,2.9951341515699476e-07,1.1089919205323823e-08,0.07376704591075046,5.301036637387258e-06,2.463033159227951
0.1,9.12714670317039e-08,5.334003841531771e-08,1.6879636692373952e-08,5.671362190620073e-08,1.2240884804540906e-07,6.326978895429941e-08,3.91892689020294e-08,2.1693757894972387,0.2318877780704257,2.1117613711696144e-07,1.7392974578621865e-08,7.294787480533877e-06,3.555092993771891e-07,4.3373930885339485e-07,4.8561160659250804e-08,1.0697494295937726e-07,1.343719814625962e-07,1.039111458930315e-07,4.946487667408419,5.604369416193368e-08,7.752035377931919e-08,2.0176553862867312e-07,3.088933038801676e-07,2.8102918701800403,1.069366429435249e-07,1.3997602841120756e-06,2.3393518322907623e-08,0.23880861266015194,0.21950098354133277,2.2180853343275198
0.15000000000000002,2.4810286655122807e-08,1.4296672168753675e-08,4.431908899782919e-09,1.500586588130596e-08,3.30696136076136e-08,1.6679772049149753e-08,1.0146051848325885e-08,1.7905296298791125,0.38847108271281805,6.515852523841507e-08,4.5703171672064725e-09,0.10537742951126511,1.1970652418377936e-07,1.3907349762982301e-07,1.290064758852094e-08,2.985366057776129e-08,3.955746631152246e-08,3.046178770847226e-08,4.195789388727434,1.4730395046073451e-08,2.153466008517138e-08,5.452151062271416e-08,8.883554621830436e-08,2.4123582546691833,2.9843168577501146e-08,0.07882922182260584,6.1766421230530635e-09,0.33368788559072576,0.36945890916038354,1.9658033755641462
0.2,1.041634161764181e-07,5.9306045795362044e-08,1.7740809157233285e-08,6.139951283292232e-08,1.3934370889147998e-07,6.828426890983254e-08,4.068235715258237e-08,1.4770117863755363,0.45919953933585717,3.1941677297185307e-07,1.861024443869413e-08,0.19258563014535524,9.318629255004056e-07,1.4379729289137434e-06,5.28907804981737e-08,1.2846325250530115e-07,1.8653399230438327e-07,1.426330951535006e-07,3.5124541185241047,5.947879880390602e-08,9.330613328626224e-08,2.2807249665705328e-07,4.2624214289897155e-07,2.0379690791844505,1.271127474552167e-07,0.23934831922905495,2.4874750605205616e-08,0.3859728102031084,0.4459972404646383,1.7163917789770904
0.25,1.0452285524644116e-07,5.805790054433541e-08,1.6936131870141434e-08,5.958341115160118e-08,1.4108745554987032e-07,6.630381694649909e-08,3.8840495612767574e-08,1.2310556319560106,0.48224292635787563,3.876090379757632e-07,1.7629154480524522e-08,0.25049219562823083,3.352715694404548e-06,0.02309433848616078,5.143040344321707e-08,1.3136296853142495e-07,2.129408187420607e-07,1.6000723917082683e-07,2.926777350860572,5.697744427192297e-08,9.578044838097013e-08,2.294500604801011e-07,4.990745064688157e-07,1.7124048375429264,1.301310597116421e-07,0.3343896212301603,2.379090989665354e-08,0.41108413465783133,0.48368004332533,1.4840924222794327
0.30000000000000004,3.439112078839693e-07,1.8530116622256293e-07,5.188453349516464e-08,1.8877244049735488e-07,4.6907294887521956e-07,2.093710826508794e-07,1.1998385377785288e-07,1.0180125329151204,0.46375930710033136,1.5999023052547322e-06,5.36738977104186e-08,0.2750135731398168,0.06996706161701208,0.11576170813763204,1.630065101013671e-07,4.401363862074732e-07,8.310152281564856e-07,5.974268939646531e-07,2.401063889311557,1.7890773012776248e-07,3.218304048474205e-07,7.589628662408143e-07,2.0493566892875555e-06,1.4171751203923684,4.339212169855928e-07,0.3718225428331816,7.403517901944559e-08,0.40923981277509597,0.4833169472021809,1.2593742970907984
0.35000000000000003,2.6166418463636757e-08,1.3211879258957626e-08,3.139089868164363e-09,1.3364727508187144e-08,3.6542453908287306e-08,1.4902279427531558e-08,8.095130971622442e-09,0.8445521754499352,0.4301411965575194,1.8104428318189528e-07,3.254152587526341e-09,0.2814522289757294,0.13589879888809422,0.1676078687464101,1.1464583892474167e-08,3.43341691105761e-08,8.501881297426965e-08,5.563875499396871e-08,1.962824458603208,1.269645893403309e-08,2.525929691608565e-08,5.994504842177573e-08,2.46114766131689e-07,1.1659098705061883,3.361229299527884e-08,0.37741669140234535,4.812245365671456e-09,0.3899194786469049,0.462416753293421,1.058667119915
0.4,2.9024855841676727e-07,1.4184699806748953e-07,3.5856033917188134e-08,1.4229642495884357e-07,4.125483949694474e-07,1.5924700947016727e-07,8.691801279954276e-08,0.7007357672156389,0.38846319509693106,3.6173842422025142e-06,3.676477095373251e-08,0.273813684151775,0.169659770136927,0.19167809894384977,1.229633589133207e-07,3.8135531341853403e-07,1.466026614853724e-06,7.97597676958326e-07,1.5985282339762876,1.3513762050519242e-07,2.919774737728503e-07,6.732341218107054e-07,6.064615968875438e-06,0.9534874253182974,3.744934757470172e-07,0.3624516289659021,5.3456107641551843e-08,0.35920029587232777,0.4276441268829682,0.8819854985831267
0.45,5.700915915939827e-07,2.691686859095659e-07,7.009646451871818e-08,2.678805666419799e-07,8.293628789710497e-07,3.021788510973097e-07,1.6522615874045547e-07,0.5752663023504034,0.34080234516328806,0.005915729067557003,7.144419181241837e-08,0.2543724963574414,0.1800807027643172,0.19547006707952164,2.3284378783586356e-07,7.434633101693485e-07,1.092605677251867e-05,2.629218902868917e-06,1.286395608001541,2.4977935937722613e-07,6.021990022221279e-07,1.3326366128237965e-06,0.023904881361825506,0.7688255669893178,7.34408101547988e-07,0.3319511972068889,1.0266185468917049e-07,0.31919119006002566,0.38164314730317184,0.723382256083867
